"date","userId","taskOrder","historyLength","yearOfBirth","gender","education","dominantHand","drivingSide","sightImpairment","clientWidth","clientHeight","screenWidth","screenHeight","colorDepth","platform","language","browserInfo"
"07/01/2022/21:05:30",69153649,"59_17_61_44_32_55_50_36_51_01_21_38_13_10_56_43_06_62_15_29_54_35_49_08_47_",2,2001,"woman","secondary education","right","right",NA,1536,714,1536,864,24,"Win32","nl-BE","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"08/01/2022/04:44:54",6715834,"08_09_40_24_35_48_13_43_39_41_25_33_04_42_19_07_47_31_12_49_51_54_63_03_15_",2,1996,"man","PhD.","right","right",NA,1920,881,1920,1080,24,"Win32","zh-CN","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"07/01/2022/21:44:54",34394412,"38_24_18_13_03_29_59_57_10_48_23_41_28_37_40_44_25_42_62_02_35_16_56_60_46_",2,2000,"man","Bc.","right","right","None",1920,937,1920,1080,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"07/01/2022/20:35:52",85783205,"25_31_45_39_40_63_24_11_17_05_15_30_42_10_09_41_19_03_33_06_44_50_34_37_26_",2,1989,"woman","Mgr.","right","right",NA,1536,754,1536,864,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.45 Safari/537.36"
"08/01/2022/07:48:52",37384142,"41_28_44_45_06_08_49_33_57_11_07_35_27_62_13_55_31_61_47_20_17_52_37_30_03_",2,2003,"man","secondary education","right","right","Short-sightedness",1920,937,1920,1080,24,"Win32","en-GB","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"08/01/2022/09:52:32",26219321,"42_39_15_38_27_49_16_47_14_56_18_37_45_60_05_30_11_22_20_54_36_13_59_31_35_",3,1997,"man","Bc.","right","right",NA,1920,1000,1920,1080,24,"MacIntel","cs-CZ","Mozilla/5.0 (Macintosh Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML like Gecko) Version/15.1 Safari/605.1.15"
"08/01/2022/09:58:06",55166977,"63_26_17_18_09_07_19_24_50_39_35_30_34_14_01_53_62_42_55_28_59_11_03_06_60_",13,2001,"man","secondary education","right","right",NA,1440,837,1440,900,24,"MacIntel","nl-be","Mozilla/5.0 (Macintosh Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML like Gecko) Version/13.1.2 Safari/605.1.15"
"08/01/2022/10:50:33",21052864,"35_61_28_55_58_32_23_22_54_15_51_50_18_37_06_63_49_36_05_12_45_31_42_47_46_",2,2004,"man","secondary education","right","right","shortsightedness",1707,1067,1707,1067,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:95.0) Gecko/20100101 Firefox/95.0"
"08/01/2022/10:58:45",18948706,"63_24_12_42_21_53_43_50_44_57_45_01_37_59_14_02_11_27_29_39_54_04_06_20_33_",8,2002,"man","secondary education","right","right",NA,1536,864,1536,864,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"08/01/2022/14:05:48",4461145,"28_19_03_01_10_34_52_02_44_41_50_33_35_57_23_25_26_32_05_22_40_16_06_63_13_",7,2003,"man","secondary education","right","right","color-blindness",1366,657,1366,768,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"08/01/2022/20:27:11",42045509,"10_05_12_31_43_20_54_18_52_55_19_16_30_39_29_28_25_11_62_34_04_60_06_45_27_",3,1996,"woman","Mgr.","right","right",NA,1450,675,1450,816,24,"Win32","tr-TR","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"08/01/2022/19:34:34",18814178,"15_53_08_27_21_18_49_09_40_30_04_14_33_60_43_44_22_06_50_31_58_52_36_11_07_",2,1998,"man","secondary education","right","right",NA,1920,937,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"09/01/2022/10:26:31",30232344,"15_60_62_51_19_03_27_17_08_34_31_61_58_25_54_43_21_35_10_52_04_53_55_26_41_",5,2002,"woman","secondary education","right","right",NA,1440,825,1440,900,24,"MacIntel","nl-NL","Mozilla/5.0 (Macintosh Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML like Gecko) Version/15.1 Safari/605.1.15"
"09/01/2022/10:50:16",4678619,"23_43_27_12_38_39_21_58_44_08_24_07_11_55_06_35_32_41_50_56_54_19_46_37_15_",11,2002,"man","secondary education","right","right",NA,1536,754,1536,864,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"09/01/2022/10:52:48",22780971,"15_40_32_53_46_45_19_60_61_27_55_24_05_04_58_59_09_62_26_49_17_16_54_08_36_",2,2002,"man","secondary education","right","right",NA,1536,864,1536,864,24,"Win32","nl","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:95.0) Gecko/20100101 Firefox/95.0"
"09/01/2022/21:05:02",26517881,"12_63_20_24_60_23_41_06_13_39_34_61_30_02_47_40_57_22_16_27_11_59_54_50_55_",2,1997,"woman","Bc.","right","right","/",1600,757,1600,900,24,"Win32","nl","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.55"
"09/01/2022/22:29:33",73304328,"23_24_57_34_37_02_51_59_04_22_39_45_14_11_50_46_36_26_17_33_58_63_44_15_30_",43,2001,"man","Bc.","right","right","color-blindness (severe daltonism)",1239,651,1280,800,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 OPR/82.0.4227.50"
"10/01/2022/08:35:59",98384950,"10_11_60_12_48_25_57_02_31_20_36_09_01_13_50_46_06_15_19_37_52_62_38_41_26_",2,1990,"woman","Mgr.","right","left",NA,1600,900,1600,900,24,"Win32","de","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:95.0) Gecko/20100101 Firefox/95.0"
"10/01/2022/09:27:20",47636948,"22_37_44_55_47_07_09_29_33_40_58_25_15_32_56_49_05_01_28_36_35_53_30_63_46_",2,1995,"woman","Mgr.","right","right","Farsightedness",1536,722,1536,864,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"10/01/2022/11:06:07",17821050,"14_23_56_48_17_46_24_61_38_15_11_51_62_60_39_40_21_34_02_29_50_58_33_05_55_",2,2000,"man","secondary education","right","right",NA,1280,577,1280,720,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"10/01/2022/11:42:33",46126341,"36_16_39_04_60_52_53_19_51_33_26_49_18_24_06_12_48_32_09_17_43_13_45_54_15_",2,1999,"man","secondary education","right","left","farsightedness",1280,720,1280,720,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"10/01/2022/12:07:35",12869257,"38_28_18_44_48_19_03_16_17_24_09_27_37_47_33_06_23_63_13_14_01_35_41_05_26_",11,2002,"woman","secondary education","right","right",NA,1440,820,1440,900,24,"MacIntel","nl-nl","Mozilla/5.0 (Macintosh Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML like Gecko) Version/14.1.1 Safari/605.1.15"
"10/01/2022/14:05:29",96562470,"39_42_47_52_54_35_30_10_63_48_25_06_07_05_19_04_22_33_16_11_03_62_29_14_23_",2,1996,"woman","Mgr.","right","right","Amblyopia in both eyes and (partial) cataract with the right eye.",1536,850,1536,960,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"10/01/2022/16:43:24",67034588,"15_34_41_25_23_12_21_47_56_46_62_10_37_32_53_08_19_57_18_33_60_30_28_26_55_",2,2002,"man","secondary education","right","right",NA,1280,913,1280,1024,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"10/01/2022/17:11:20",91132339,"52_40_02_04_51_15_47_42_56_18_07_12_60_63_38_10_57_03_36_59_17_28_26_34_54_",2,1980,"man","PhD.","right","left","slightly short sighted (glasses worn for driving and screen watching)",1848,968,1920,1080,24,"Linux x86_64","fr","Mozilla/5.0 (X11 Ubuntu Linux x86_64 rv:95.0) Gecko/20100101 Firefox/95.0"
"10/01/2022/19:27:25",86023747,"35_19_58_47_41_62_44_06_11_57_56_59_63_07_15_17_38_05_09_45_46_39_34_24_60_",2,1991,"man","Mgr.","right","right",NA,1920,969,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"10/01/2022/15:19:04",55381107,"55_54_44_14_28_05_57_34_27_56_25_22_06_04_51_52_43_19_37_47_62_30_24_63_59_",2,1961,"woman","PhD.","right","right","farsighted",1888,924,1920,1080,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"11/01/2022/10:44:17",87386487,"38_47_42_09_46_23_51_21_52_54_02_12_35_27_62_61_30_50_34_39_37_59_07_08_43_",2,1993,"woman","Mgr.","left","left",NA,1920,969,1920,1080,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"11/01/2022/09:44:42",41548439,"38_55_07_58_47_46_24_10_03_22_27_56_25_11_50_48_43_28_49_41_53_06_26_05_51_",2,1995,"woman","Mgr.","right","right",NA,1280,609,1280,720,24,"Win32","nl","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.55"
"11/01/2022/11:23:30",11739127,"28_25_39_32_11_36_14_15_45_40_43_53_07_42_29_61_49_62_22_33_24_09_23_31_51_",2,1981,"woman","PhD.","right","right",NA,1920,1087,1920,1200,24,"Win32","de","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:94.0) Gecko/20100101 Firefox/94.0"
"11/01/2022/16:16:57",39960699,"13_58_08_37_46_62_32_49_34_01_22_28_19_03_16_07_24_25_33_54_60_14_06_11_09_",2,1979,"woman","PhD.","right","right","farsightedness",1366,657,1366,768,24,"Win32","pl-PL","Mozilla/5.0 (Windows NT 6.3 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"11/01/2022/17:03:54",36096355,"18_05_54_41_55_11_14_12_27_51_53_29_42_31_10_04_60_02_63_13_39_09_45_07_30_",6,2001,"man","secondary education","right","right",NA,1536,722,1536,864,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"12/01/2022/01:53:46",40505041,"29_61_62_24_58_21_13_04_63_52_30_53_35_20_41_11_12_25_47_32_31_06_19_10_03_",2,1986,"woman","Mgr.","right","right",NA,1366,790,1440,900,30,"MacIntel","en-US","Mozilla/5.0 (Macintosh Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML like Gecko) Chrome/95.0.4638.69 Safari/537.36"
"12/01/2022/12:19:24",54057508,"36_31_03_48_33_21_16_62_01_32_61_44_46_07_52_19_37_27_09_58_25_59_10_14_38_",2,1988,"man","Bc.","right","left",NA,1920,969,1920,1080,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"12/01/2022/12:24:59",16968912,"49_42_21_03_43_35_32_29_48_07_23_14_27_24_54_13_40_57_59_61_10_12_02_26_39_",2,1993,"woman","Mgr.","right","right","shortsightedness",1920,880,1920,1080,24,"Win32","sk-SK","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"12/01/2022/12:47:57",56531872,"15_20_21_59_42_61_11_14_12_49_41_53_56_17_24_26_29_32_48_46_34_13_02_18_16_",2,1964,"man","Mgr.","right","right",NA,1847,1097,1920,1200,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"12/01/2022/13:12:42",25044298,"19_17_35_16_63_23_52_55_12_27_29_59_45_06_36_37_60_09_30_43_04_10_01_47_25_",2,1966,"woman","Mgr.","right","right","no",993,838,1920,1080,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.55"
"12/01/2022/13:34:51",8495152,"29_26_19_09_04_43_53_59_63_07_54_15_21_16_22_39_01_18_31_40_13_58_10_12_55_",2,1995,"man","Mgr.","left","right",NA,1536,754,1536,864,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"12/01/2022/13:54:07",37661388,"55_37_35_41_08_36_51_07_24_43_12_52_16_31_01_21_10_34_27_30_40_26_03_49_28_",2,2001,"man","secondary education","right","left","Colour-blindness (Deuteranomaly)",1366,607,1366,768,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 6.2 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"12/01/2022/13:58:57",92688080,"08_24_30_52_61_48_10_54_16_41_25_40_12_02_37_57_35_31_04_23_34_03_63_17_20_",2,1984,"man","Mgr.","right","right",NA,1920,937,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"12/01/2022/15:56:43",44708870,"21_31_29_51_13_41_18_54_46_35_44_47_36_60_07_49_50_10_40_04_45_17_53_22_24_",23,1997,"woman","Bc.","right","right",NA,1536,711,1536,864,24,"Win32","nl","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:95.0) Gecko/20100101 Firefox/95.0"
"12/01/2022/16:37:39",59590489,"49_34_48_55_12_26_04_22_19_47_18_29_20_24_36_23_40_33_02_44_21_30_59_45_01_",2,1975,"man","Mgr.","left","right",NA,1920,937,1920,1080,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.55"
"12/01/2022/20:48:24",78114090,"54_48_09_28_02_18_38_24_26_36_14_23_60_45_43_58_41_44_07_39_04_21_59_52_17_",2,2002,"woman","secondary education","right","right","I have shortsightedness. but my eyesight is so bad i can't see very good up close either.",1536,722,1536,864,24,"Win32","nl-BE","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"13/01/2022/13:46:33",5157621,"63_53_16_47_17_42_10_57_26_07_18_25_39_44_48_59_40_08_38_31_37_52_02_19_58_",2,1980,"man","PhD.","right","right","short sightedness",1440,790,1440,900,24,"MacIntel","en-US","Mozilla/5.0 (Macintosh Intel Mac OS X 10.15 rv:96.0) Gecko/20100101 Firefox/96.0"
"13/01/2022/15:44:43",6206991,"18_20_52_48_02_12_14_32_57_22_43_42_09_34_55_44_03_24_04_11_05_63_61_47_40_",2,1990,"man","Mgr.","right","right",NA,2560,1440,2560,1440,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"14/01/2022/15:59:13",1695179,"61_18_23_45_16_52_21_09_35_42_01_06_29_34_58_63_32_27_46_36_30_59_03_55_07_",2,1982,"woman","Mgr.","right","left","farsightedness",2560,1440,2560,1440,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.55"
"14/01/2022/16:34:43",15101013,"09_31_35_29_61_19_38_45_49_53_42_33_14_55_27_43_39_46_26_62_22_56_54_01_06_",2,2002,"man","Bc.","right","right","shortsightedness",1920,929,1920,1080,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"15/01/2022/12:34:00",96583914,"14_41_54_48_57_23_25_09_16_15_28_45_27_33_21_07_18_40_43_52_34_42_17_61_60_",2,1990,"man","Mgr.","right","right",NA,1920,1080,1920,1080,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:95.0) Gecko/20100101 Firefox/95.0"
"15/01/2022/12:55:34",28840513,"07_35_40_61_08_21_05_06_28_47_53_36_55_11_44_14_49_18_48_13_39_23_63_51_22_",2,1967,"man","Mgr.","right","right",NA,1600,789,1600,900,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"15/01/2022/18:07:17",15650954,"44_31_16_45_20_26_12_05_38_24_42_30_59_01_18_58_43_17_36_28_51_34_27_49_15_",2,2001,"woman","secondary education","right","right",NA,1440,692,1440,900,24,"MacIntel","en-US","Mozilla/5.0 (Macintosh Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"16/01/2022/13:38:20",16577918,"32_23_43_10_31_34_39_07_15_58_21_49_05_40_35_47_59_51_57_62_16_13_02_56_50_",2,2001,"woman","secondary education","right","right","short-sightedness",803,714,1536,864,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"16/01/2022/21:15:13",78088204,"34_41_50_36_56_03_15_04_08_06_53_25_31_27_20_47_37_54_30_43_52_39_58_13_61_",6,1999,"man","Mgr.","right","right",NA,1536,754,1536,864,24,"Win32","nl-BE","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"18/01/2022/11:32:08",44973345,"63_45_61_33_52_20_10_22_24_12_39_40_31_37_42_16_35_47_43_23_18_01_46_21_50_",2,1990,"woman","PhD.","right","right",NA,1920,968,1920,1080,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:96.0) Gecko/20100101 Firefox/96.0"
"18/01/2022/13:58:44",8951534,"58_35_44_03_33_01_19_11_29_16_10_31_15_48_12_39_53_21_63_43_60_30_36_49_34_",8,2002,"woman","secondary education","right","right",NA,1536,746,1536,864,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"18/01/2022/17:59:52",33522516,"59_50_25_55_40_48_31_02_10_08_37_45_49_35_44_06_33_19_21_32_01_56_51_62_15_",2,1982,"man","PhD.","right","right",NA,1920,933,1920,1080,24,"Win32","fi-FI","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:91.0) Gecko/20100101 Firefox/91.0"
"18/01/2022/19:50:27",97373658,"02_32_47_19_34_45_14_22_52_50_60_03_51_44_33_37_28_06_42_17_10_63_11_04_38_",2,1983,"man","PhD.","right","right",NA,1280,576,1280,720,24,"Win32","fi-FI","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"19/01/2022/08:57:27",15413239,"47_53_25_06_37_49_55_16_11_12_61_54_27_46_28_35_17_07_15_32_59_40_03_58_41_",2,1996,"man","Bc.","right","right",NA,1920,937,1920,1080,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"19/01/2022/10:40:37",21023650,"63_21_53_42_09_62_39_56_40_49_52_36_45_06_23_26_43_05_02_11_18_25_30_17_03_",2,1983,"man","Mgr.","right","right",NA,1920,1080,1920,1080,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"19/01/2022/11:28:58",75064066,"33_19_21_47_38_62_46_12_16_02_30_61_39_56_58_26_06_42_43_11_60_20_54_05_23_",2,1995,"woman","Mgr.","right","right","shortsighted (mildly)",1920,930,1920,1080,24,"Linux x86_64","en-US","Mozilla/5.0 (X11 Linux x86_64 rv:95.0) Gecko/20100101 Firefox/95.0"
"22/01/2022/10:29:34",79903330,"12_57_25_41_40_06_15_01_31_33_10_11_29_45_37_21_63_19_62_46_28_22_56_05_03_",13,2002,"man","Bc.","right","right",NA,1536,714,1536,864,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"24/01/2022/10:35:16",1952440,"56_28_43_54_53_13_39_20_46_02_15_29_47_38_55_07_06_36_08_21_35_14_03_58_57_",17,1998,"woman","Bc.","left","left",NA,1920,937,1920,1080,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.99 Safari/537.36"
"24/01/2022/13:41:52",41630697,"11_18_61_29_60_01_51_16_25_50_13_03_59_07_43_15_53_10_39_34_58_47_06_56_37_",8,2003,"man","secondary education","right","right",NA,1920,937,1920,1080,24,"Win32","nl-BE","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"25/01/2022/08:06:14",80461536,"61_13_57_46_47_19_05_15_09_18_42_43_51_52_44_48_28_01_38_58_34_10_02_16_32_",2,1971,"woman","PhD.","right","right","far-sighted.",1680,907,1680,1050,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.99 Safari/537.36"
"25/01/2022/08:08:45",75701399,"08_23_46_20_26_11_49_10_54_02_17_45_59_22_07_61_30_31_56_29_60_13_62_24_28_",2,1979,"woman","PhD.","right","right",NA,1366,625,1366,768,24,"Win32","sk-SK","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.99 Safari/537.36"
"25/01/2022/08:11:50",74865901,"52_06_29_02_30_54_45_61_36_47_55_59_27_63_07_05_28_51_18_31_19_01_44_49_16_",2,1993,"woman","Mgr.","right","right",NA,1920,937,1920,1080,24,"Win32","sk-SK","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.99 Safari/537.36"
"25/01/2022/08:40:29",20452318,"30_04_12_26_31_62_45_08_51_32_42_61_23_47_11_40_60_09_24_44_41_59_38_22_07_",3,1959,"man","Mgr.","right","right","shortsightedness",1536,864,1536,864,24,"Win32","sk-SK","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.99 Safari/537.36"
"25/01/2022/09:19:27",2004234,"63_04_47_06_08_38_46_61_16_53_25_50_49_03_01_52_11_35_20_05_15_43_24_14_21_",3,1968,"man","Mgr.","right","right","shortsightedness",1920,1080,1920,1080,24,"Win32","sk","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:96.0) Gecko/20100101 Firefox/96.0"
"25/01/2022/09:43:22",26396701,"36_54_52_29_37_49_09_22_18_57_26_50_06_53_63_58_12_21_39_46_34_08_59_01_19_",2,1987,"woman","Mgr.","right","right","farsighted",1920,969,1920,1080,24,"Win32","sk","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62"
"25/01/2022/09:46:40",60338279,"18_52_61_62_39_10_41_06_21_60_11_30_45_51_03_57_24_38_40_25_02_48_43_59_54_",2,1975,"man","PhD.","left","right","nie",1536,730,1536,864,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.99 Safari/537.36"
"25/01/2022/09:46:56",59812122,"53_58_20_12_54_29_09_24_02_44_40_41_10_43_07_55_42_01_35_11_59_49_62_63_48_",2,1980,"woman","Mgr.","right","right","None.",1366,625,1366,768,24,"Win32","sk","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69"
"25/01/2022/09:52:44",62070216,"56_43_37_59_38_63_36_35_05_19_34_31_50_26_33_53_09_62_46_57_06_24_17_41_28_",2,1999,"woman","Bc.","right","right",NA,1536,754,1536,864,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.99 Safari/537.36"
"25/01/2022/09:54:07",53835364,"50_60_02_20_59_47_32_29_06_53_45_35_09_44_28_04_13_05_26_48_03_57_17_38_62_",2,1983,"man","PhD.","right","right",NA,1920,1085,1920,1200,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:96.0) Gecko/20100101 Firefox/96.0"
"25/01/2022/10:30:33",31571679,"19_27_59_08_55_38_18_58_14_30_28_34_43_16_54_53_37_31_46_20_29_23_62_05_03_",2,1965,"woman","Mgr.","right","right","shortsightendness",1693,812,1920,1080,24,"Win32","sk","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.62"
"25/01/2022/10:51:02",44388279,"50_61_03_37_19_39_43_49_09_16_15_45_58_40_21_48_12_38_11_62_10_06_26_57_51_",2,1991,"man","Mgr.","left","right",NA,2560,1440,2560,1440,24,"Win32","sk","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:96.0) Gecko/20100101 Firefox/96.0"
